question_id,study_session_id,assessment_session_id,model_version,generated_live_fallback,source_material,difficulty,bloom_level,generation_timestamp,question_metadata
q_bank_133169f0,study_1092297ad53a,session_16d1b3d9ed88,question_bank_fallback,static_bank,v1,medium,apply,2026-08-17T15:12:49.552245,"{""blooms_level"": ""apply"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
q_bank_df849949,study_1092297ad53a,session_16d1b3d9ed88,question_bank_fallback,static_bank,v1,medium,apply,2026-08-17T15:12:49.582394,"{""blooms_level"": ""apply"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
q_bank_95d0e438,study_1092297ad53a,session_16d1b3d9ed88,question_bank_fallback,static_bank,v1,medium,analyze,2026-08-17T15:12:49.584396,"{""blooms_level"": ""analyze"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
q_bank_c162992e,study_1092297ad53a,session_16d1b3d9ed88,question_bank_fallback,static_bank,v1,medium,analyze,2026-08-17T15:12:49.586394,"{""blooms_level"": ""analyze"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
q_bank_d0a9664b,study_1092297ad53a,session_16d1b3d9ed88,question_bank_fallback,static_bank,v1,medium,understand,2026-08-17T15:12:49.586394,"{""blooms_level"": ""understand"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
q_bank_86d996f1,study_fda53702e1d6,session_d0f9bc68fad8,question_bank_fallback,static_bank,v1,medium,understand,2026-08-17T15:39:02.005727,"{""blooms_level"": ""understand"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
q_bank_ded81b36,study_fda53702e1d6,session_d0f9bc68fad8,question_bank_fallback,static_bank,v1,medium,analyze,2026-08-17T15:39:02.049014,"{""blooms_level"": ""analyze"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
q_bank_62af43d7,study_fda53702e1d6,session_d0f9bc68fad8,question_bank_fallback,static_bank,v1,medium,apply,2026-08-17T15:39:02.051070,"{""blooms_level"": ""apply"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
q_bank_c073e497,study_fda53702e1d6,session_d0f9bc68fad8,question_bank_fallback,static_bank,v1,medium,apply,2026-08-17T15:39:02.052072,"{""blooms_level"": ""apply"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
q_bank_e93c8dc9,study_fda53702e1d6,session_d0f9bc68fad8,question_bank_fallback,static_bank,v1,medium,analyze,2026-08-17T15:39:02.053580,"{""blooms_level"": ""analyze"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
q_bank_a277a465,study_fda53702e1d6,session_2e346e32fef6,question_bank_fallback,static_bank,v1,medium,apply,2026-08-17T15:39:18.948332,"{""blooms_level"": ""apply"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
q_bank_9f07e141,study_fda53702e1d6,session_2e346e32fef6,question_bank_fallback,static_bank,v1,medium,analyze,2026-08-17T15:39:18.987054,"{""blooms_level"": ""analyze"", ""difficulty_score"": 0.55, ""generated_from"": ""static_bank"", ""model"": ""question_bank_fallback""}"
