id,study_session_id,assessment_session_id,participant_id,condition,question_id,question_index,question_difficulty,question_source,model_provider,live_fallback_status,bloom_level,presented_at,submitted_at,response_time_seconds,submitted_answer,correctness,score_points,status
94ff24ab6abb47409ba0065795043e44,study_7299455cdb99,session_sim_1786977028,participant_001,MCRF,sim_q1,0,medium,fallback,simulation-fallback-v1,fallback,understand,2026-08-17T14:30:28.261180,2026-08-17T14:30:53.261180,25.0,0,True,10.0,submitted
d8d72b1e9ad648f494fa991939fbc616,study_7299455cdb99,session_sim_1786977028,participant_001,MCRF,sim_q2,1,medium,fallback,simulation-fallback-v1,fallback,remember,2026-08-17T14:30:54.261180,2026-08-17T14:31:24.261180,30.0,1,True,10.0,submitted
3b718668374e456fb4ec9729f0e50af9,study_7299455cdb99,session_sim_1786977028,participant_001,MCRF,sim_q3,2,medium,fallback,simulation-fallback-v1,fallback,apply,2026-08-17T14:31:25.261180,2026-08-17T14:31:45.261180,20.0,0,False,0.0,submitted
9d3e15e49b3846e38e31f56e8d3aba50,study_a571e038d69e,session_sim_1786977067,participant_001,MCRF,sim_q1,0,medium,fallback,simulation-fallback-v1,fallback,understand,2026-08-17T14:31:07.803091,2026-08-17T14:31:32.803091,25.0,0,True,10.0,submitted
4d4c9e6cdead4cc79aadab630ea3640b,study_a571e038d69e,session_sim_1786977067,participant_001,MCRF,sim_q2,1,medium,fallback,simulation-fallback-v1,fallback,remember,2026-08-17T14:31:33.803091,2026-08-17T14:32:03.803091,30.0,1,True,10.0,submitted
c6d22af12903401e91da1164422ae1d8,study_a571e038d69e,session_sim_1786977067,participant_001,MCRF,sim_q3,2,medium,fallback,simulation-fallback-v1,fallback,apply,2026-08-17T14:32:04.803091,2026-08-17T14:32:24.803091,20.0,0,False,0.0,submitted
6a4694bab0e24648ad82f428a9ea0fe8,study_fda53702e1d6,session_2e346e32fef6,participant_002,MCRF,q_bank_a277a465,0,medium,static_bank,question_bank_fallback,static_bank,apply,2026-08-17T15:39:19.108000,2026-08-17T15:39:28.697000,9.6,1,True,20.0,submitted
2b7ba94b8a584f6793890c09fa413879,study_fda53702e1d6,session_2e346e32fef6,participant_002,MCRF,q_bank_9f07e141,1,medium,static_bank,question_bank_fallback,static_bank,analyze,2026-08-17T15:39:28.705000,2026-08-17T15:40:03.655000,35.0,0,True,20.0,submitted
08e5b28ef2b047f9bcdb12c7b1fbdb4b,study_fda53702e1d6,session_2e346e32fef6,participant_002,MCRF,q_bank_d16dbd11,2,medium,static_bank,question_bank_fallback,static_bank,analyze,2026-08-17T15:40:03.661000,2026-08-17T15:40:10.202000,6.5,3,False,0.0,submitted
e3bd0031527d462f97f7d92452bd4ff2,study_fda53702e1d6,session_2e346e32fef6,participant_002,MCRF,q_bank_5cbecbbd,3,medium,static_bank,question_bank_fallback,static_bank,understand,2026-08-17T15:40:10.208000,2026-08-17T15:40:12.313000,2.1,0,True,20.0,submitted
ebc6f99389894ed5bf1d9ea2eb9cd37f,study_fda53702e1d6,session_2e346e32fef6,participant_002,MCRF,q_bank_0c8ebbff,4,medium,static_bank,question_bank_fallback,static_bank,apply,2026-08-17T15:40:12.319000,2026-08-17T15:40:17.480000,5.2,1,True,20.0,submitted
46a832f7d7dd438b9b7bf91f86027413,study_e7205f345361,session_bb9ddfcbc5a2,participant_002,MCRF,q_bank_320d87e7,0,medium,static_bank,question_bank_fallback,static_bank,apply,2026-08-17T16:15:32.991000,2026-08-17T16:15:52.137000,19.1,0,False,0.0,submitted
d00579004d8047b592f6ec0d6fbfeaa3,study_e7205f345361,session_bb9ddfcbc5a2,participant_002,MCRF,q_bank_de825f53,1,medium,static_bank,question_bank_fallback,static_bank,apply,2026-08-17T16:15:52.145000,2026-08-17T16:15:54.241000,2.1,1,True,20.0,submitted
739ccd1f644a439f963b0199700b39b6,study_e7205f345361,session_bb9ddfcbc5a2,participant_002,MCRF,q_bank_5902940a,2,medium,static_bank,question_bank_fallback,static_bank,analyze,2026-08-17T16:15:54.249000,2026-08-17T16:15:56.859000,2.6,2,False,0.0,submitted
7378987307fc4cbea5ad6fe649798909,study_e7205f345361,session_bb9ddfcbc5a2,participant_002,MCRF,q_bank_02820f8a,3,medium,static_bank,question_bank_fallback,static_bank,understand,2026-08-17T16:15:56.864000,2026-08-17T16:15:58.651000,1.8,1,False,0.0,submitted
a8e6ef139ef046cebf827fdff1a22292,study_e7205f345361,session_bb9ddfcbc5a2,participant_002,MCRF,q_bank_d05a7029,4,medium,static_bank,question_bank_fallback,static_bank,analyze,2026-08-17T16:15:58.658000,2026-08-17T16:16:00.609000,2.0,2,False,0.0,submitted
2fcdb6c479644cc09d2035fddd0e8a12,study_22ffaf897b7a,session_sim_1787046737,participant_001,MCRF,sim_q1,0,medium,fallback,simulation-fallback-v1,fallback,understand,2026-08-18T09:52:17.960018,2026-08-18T09:52:42.960018,25.0,0,True,10.0,submitted
7c0969eb19df4f6eb9f60ad04d6d0572,study_22ffaf897b7a,session_sim_1787046737,participant_001,MCRF,sim_q2,1,medium,fallback,simulation-fallback-v1,fallback,remember,2026-08-18T09:52:43.960018,2026-08-18T09:53:13.960018,30.0,1,True,10.0,submitted
4a816f89726b4469bb07cdf1eee2e208,study_22ffaf897b7a,session_sim_1787046737,participant_001,MCRF,sim_q3,2,medium,fallback,simulation-fallback-v1,fallback,apply,2026-08-18T09:53:14.960018,2026-08-18T09:53:34.960018,20.0,0,False,0.0,submitted
