study_session_id,participant_id,condition,sequence_order,course_id,module_id,video_id,started_at,ended_at,completion_status,experiment_version,application_version,crs_config_version,pretest_score,posttest_score,learning_gain,camera_used,camera_opted_out,camera_revoked
study_bb916e7ec734,participant_002,MCRF,LEGACY_THEN_MCRF,course_001,course_001,v6,2026-08-17T15:31:20.833675,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_7de4a7531b4c,participant_002,LEGACY,LEGACY_THEN_MCRF,course_002,course_002,v11,2026-08-17T15:31:27.972063,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_1594a20fc7fa,participant_002,MCRF,LEGACY_THEN_MCRF,course_002,course_002,v11,2026-08-17T15:32:34.615915,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,True,False,False
study_7299455cdb99,participant_001,MCRF,MCRF_THEN_LEGACY,course_001,course_001,v1,2026-08-17T14:30:28.128506,2026-08-17T14:30:28.481769,completed,full-study-v1,fff53c3,crs-equal-weights-v1,1.0,2.0,1.0,True,False,True
study_e4623f9d073b,participant_001,LEGACY,MCRF_THEN_LEGACY,course_001,course_001,v1,2026-08-17T14:31:07.685482,2026-08-17T14:31:07.704492,simulation_skipped_counterbalance,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_503c2c73812b,participant_002,LEGACY,LEGACY_THEN_MCRF,course_002,course_002,v11,2026-08-17T15:35:02.833890,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,True,False,False
study_a571e038d69e,participant_001,MCRF,MCRF_THEN_LEGACY,course_001,course_001,v1,2026-08-17T14:31:07.751003,2026-08-17T14:31:07.897879,completed,full-study-v1,fff53c3,crs-equal-weights-v1,1.0,2.0,1.0,True,False,True
study_fb3a072f6bc2,participant_002,LEGACY,LEGACY_THEN_MCRF,course_001,course_001,v6,2026-08-17T14:51:18.858801,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_2aa4ebc6b268,participant_002,MCRF,LEGACY_THEN_MCRF,course_001,course_001,v1,2026-08-17T14:51:21.095038,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_5f97f87da688,participant_002,LEGACY,LEGACY_THEN_MCRF,course_002,course_002,v11,2026-08-17T15:10:15.894192,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_8c0791ce9709,participant_002,MCRF,LEGACY_THEN_MCRF,course_002,course_002,v9,2026-08-17T15:10:20.908320,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_6527b23d85c4,participant_002,LEGACY,LEGACY_THEN_MCRF,course_002,course_002,v10,2026-08-17T15:10:24.020799,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_96dd01579574,participant_002,MCRF,LEGACY_THEN_MCRF,course_001,course_001,v6,2026-08-17T15:11:22.748524,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_1092297ad53a,participant_002,LEGACY,LEGACY_THEN_MCRF,course_001,course_001,v7,2026-08-17T15:12:26.526203,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_064c8dd19847,participant_002,MCRF,LEGACY_THEN_MCRF,course_002,course_002,v11,2026-08-17T15:12:55.543561,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_0fcb2b8305f0,participant_002,LEGACY,LEGACY_THEN_MCRF,course_001,course_001,v6,2026-08-17T15:13:04.243994,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_bdb137710f82,participant_002,MCRF,LEGACY_THEN_MCRF,course_001,course_001,v6,2026-08-17T15:23:29.204272,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_610d358b5bf9,participant_002,LEGACY,LEGACY_THEN_MCRF,course_002,course_002,v11,2026-08-17T15:23:33.564715,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_6fa8b3baaf93,participant_002,MCRF,LEGACY_THEN_MCRF,course_001,course_001,v6,2026-08-17T15:23:36.160976,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_be22bcf50730,participant_002,LEGACY,LEGACY_THEN_MCRF,course_001,course_001,v6,2026-08-17T15:23:39.599867,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_d511b089c121,participant_002,MCRF,LEGACY_THEN_MCRF,course_002,course_002,v11,2026-08-17T15:23:43.455918,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_46a97e2584f1,participant_002,LEGACY,LEGACY_THEN_MCRF,course_002,course_002,v11,2026-08-17T15:28:35.552489,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_d2550d5c5b82,participant_002,MCRF,LEGACY_THEN_MCRF,course_002,course_002,v11,2026-08-17T15:29:01.706231,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_55be6edd4040,participant_002,LEGACY,LEGACY_THEN_MCRF,course_002,course_002,v11,2026-08-17T15:29:02.372321,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_4077b889c026,participant_002,MCRF,LEGACY_THEN_MCRF,course_002,course_002,v11,2026-08-17T15:29:03.297156,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
study_0d95ed5683cc,participant_002,LEGACY,LEGACY_THEN_MCRF,course_001,course_001,v6,2026-08-17T15:29:25.978590,,started,full-study-v1,fff53c3,crs-equal-weights-v1,,,,False,False,False
